Dia (Dia da Semana) ,Data (dd/mm/aa),Turno,Descarte (kg),Produção Total (kg),Produção ideal (kg),Produção - Arroz (kg),Produção - Feijão (kg),Produção - Macarrão (kg),Produção - Batata (kg),Produção - Carne (kg),Produção - Extrato de tomate (kg),Produção - Alface (Unid.),Produção - Cenoura (ou Beterraba) (kg),Produção - Couve (Maços),Produção - Tomate (kg),Produção - Pepino (kg),Produção - Cebola (kg),Classificação do dia
Sexta-feira,15/09/2023,Jantar,"5,2","268,5","263,3",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,16/09/2023,Almoço,"6,9","448,5","441,6",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,16/09/2023,Jantar,"3,1","268,5","265,4",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,17/09/2023,Almoço,"5,2","448,5","443,3",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,17/09/2023,Jantar,6,"268,5","262,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,18/09/2023,Almoço,58,"448,5","390,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,18/09/2023,Jantar,"16,3","268,5","252,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,19/09/2023,Almoço,56,"448,5","392,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,19/09/2023,Jantar,14,"268,5","254,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,20/09/2023,Almoço,"31,25","448,5","417,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,20/09/2023,Jantar,"19,1","268,5","249,4",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,21/09/2023,Almoço,"66,55","448,5","381,95",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,21/09/2023,Jantar,"18,15","268,5","250,35",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,22/09/2023,Almoço,"27,75","448,5","420,75",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,22/09/2023,Jantar,"7,85","268,5","260,65",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,23/09/2023,Almoço,"6,15","448,5","442,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,23/09/2023,Jantar,"3,3","268,5","265,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,24/09/2023,Almoço,"4,5","448,5",444,40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,24/09/2023,Jantar,"2,05","268,5","266,45",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,25/09/2023,Almoço,"60,45","448,5","388,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,25/09/2023,Jantar,12,"268,5","256,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,26/09/2023,Almoço,46,"448,5","402,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,26/09/2023,Jantar,13,"268,5","255,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,27/09/2023,Almoço,"69,79","448,5","378,71",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,27/09/2023,Jantar,"13,9","268,5","254,6",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,28/09/2023,Almoço,"49,65","448,5","398,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,28/09/2023,Jantar,25,"268,5","243,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,29/09/2023,Almoço,"38,95","448,5","409,55",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,29/09/2023,Jantar,6,"268,5","262,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,30/09/2023,Almoço,"20,45","448,5","428,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,30/09/2023,Jantar,"5,1","268,5","263,4",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,01/10/2023,Almoço,"6,8","448,5","441,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,01/10/2023,Jantar,"4,85","268,5","263,65",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,02/10/2023,Almoço,"46,8","448,5","401,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,02/10/2023,Jantar,30,"268,5","238,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,03/10/2023,Almoço,"48,85","448,5","399,65",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,03/10/2023,Jantar,"20,15","268,5","248,35",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
