Dia (Dia da Semana) ,Data (dd/mm/aa),Turno,Descarte (kg),Produção Total (kg),Produção ideal (kg),Produção - Arroz (kg),Produção - Feijão (kg),Produção - Macarrão (kg),Produção - Batata (kg),Produção - Carne (kg),Produção - Extrato de tomate (kg),Produção - Alface (Unid.),Produção - Cenoura (ou Beterraba) (kg),Produção - Couve (Maços),Produção - Tomate (kg),Produção - Pepino (kg),Produção - Cebola (kg),Classificação do dia
Quinta-feira,22/06/2023,Almoço,"48,25","448,5","400,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,22/06/2023,Jantar,"23,7","268,5","244,8",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,23/06/2023,Almoço,"20,3","448,5","428,2",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,23/06/2023,Jantar,"3,45","268,5","265,05",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,24/06/2023,Almoço,"8,7","448,5","439,8",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,24/06/2023,Jantar,5,"268,5","263,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,25/06/2023,Almoço,"9,35","448,5","439,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,25/06/2023,Jantar,"6,2","268,5","262,3",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,26/06/2023,Almoço,"59,35","448,5","389,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,26/06/2023,Jantar,19,"268,5","249,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,27/06/2023,Almoço,"30,6","448,5","417,9",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,27/06/2023,Jantar,21,"268,5","247,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,28/06/2023,Almoço,"40,65","448,5","407,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,28/06/2023,Jantar,"14,15","268,5","254,35",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,29/06/2023,Almoço,"49,15","448,5","399,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,29/06/2023,Jantar,6,"268,5","262,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,30/06/2023,Almoço,"39,4","448,5","409,1",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,30/06/2023,Jantar,4,"268,5","264,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,01/07/2023,Almoço,"12,45","448,5","436,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,01/07/2023,Jantar,"6,4","268,5","262,1",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,02/07/2023,Almoço,"7,1","448,5","441,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,02/07/2023,Jantar,"4,35","268,5","264,15",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,03/07/2023,Almoço,"24,15","448,5","424,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,03/07/2023,Jantar,"9,95","268,5","258,55",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,04/07/2023,Almoço,"29,65","448,5","418,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,04/07/2023,Jantar,"16,1","268,5","252,4",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,05/07/2023,Almoço,"22,15","448,5","426,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,05/07/2023,Jantar,"9,5","268,5",259,15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,06/07/2023,Almoço,"28,65","448,5","419,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,06/07/2023,Jantar,"4,5","268,5",264,15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,07/07/2023,Almoço,"13,95","448,5","434,55",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,07/07/2023,Jantar,"12,45","268,5","256,05",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,08/07/2023,Almoço,2,"448,5","446,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,08/07/2023,Jantar,4,"268,5","264,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,09/07/2023,Almoço,3,"448,5","445,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,09/07/2023,Jantar,"4,3","268,5","264,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,10/07/2023,Almoço,"6,35","448,5","442,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,10/07/2023,Jantar,"0,98","268,5","267,52",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,11/07/2023,Almoço,"4,1","448,5","444,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,11/07/2023,Jantar,2,"268,5","266,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,12/07/2023,Almoço,"3,45","448,5","445,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,12/07/2023,Jantar,4,"268,5","264,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,13/07/2023,Almoço,"12,3","448,5","436,2",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,13/07/2023,Jantar,"5,7","268,5","262,8",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,14/07/2023,Almoço,5,"448,5","443,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Sexta-feira,14/07/2023,Jantar,"1,25","268,5","267,25",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Sábado,15/07/2023,Almoço,"2,25","448,5","446,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Sábado,15/07/2023,Jantar,3,"268,5","265,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Domingo,16/07/2023,Almoço,"1,6","448,5","446,9",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Domingo,16/07/2023,Jantar,"2,5","268,5",266,15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Segunda-feira,17/07/2023,Almoço,"6,35","448,5","442,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Segunda-feira,17/07/2023,Jantar,"1,3","268,5","267,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Terça-feira,18/07/2023,Almoço,"8,1","448,5","440,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Terça-feira,18/07/2023,Jantar,"3,8","268,5","264,7",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Quarta-feira,19/07/2023,Almoço,"11,7","448,5","436,8",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Quarta-feira,19/07/2023,Jantar,"1,32","268,5","267,18",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Quinta-feira,20/07/2023,Almoço,"9,55","448,5","438,95",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Quinta-feira,20/07/2023,Jantar,"5,5","268,5",263,15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Sexta-feira,21/07/2023,Almoço,"5,84","448,5","442,66",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Sexta-feira,21/07/2023,Jantar,"1,48","268,5","267,02",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Sábado,22/07/2023,Almoço,"5,45","448,5","443,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Sábado,22/07/2023,Jantar,"5,6","268,5","262,9",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Domingo,23/07/2023,Almoço,"1,8","448,5","446,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Domingo,23/07/2023,Jantar,0,"268,5","268,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Segunda-feira,24/07/2023,Almoço,"4,25","448,5","444,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Segunda-feira,24/07/2023,Jantar,"2,05","268,5","266,45",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Terça-feira,25/07/2023,Almoço,"2,25","448,5","446,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Terça-feira,25/07/2023,Jantar,"1,15","268,5","267,35",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Quarta-feira,26/07/2023,Almoço,"1,2","448,5","447,3",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Quarta-feira,26/07/2023,Jantar,0,"268,5","268,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Quinta-feira,27/07/2023,Almoço,9,"448,5","439,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Quinta-feira,27/07/2023,Jantar,"1,7","268,5","266,8",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Sexta-feira,28/07/2023,Almoço,3,"448,5","445,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Sexta-feira,28/07/2023,Jantar,0,"268,5","268,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Sábado,29/07/2023,Almoço,0,"448,5","448,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Sábado,29/07/2023,Jantar,0,"268,5","268,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Domingo,30/07/2023,Almoço,0,"448,5","448,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Domingo,30/07/2023,Jantar,"1,7","268,5","266,8",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Segunda-feira,31/07/2023,Almoço,"4,3","448,5","444,2",40,20,"12,5",125,120,4,15,25,30,30,25,2,6
Segunda-feira,31/07/2023,Jantar,"11,15","268,5","257,35",15,10,"12,5",40,60,4,15,25,30,30,25,2,6
Terça-feira,01/08/2023,Almoço,"43,4","448,5","405,1",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,01/08/2023,Jantar,12,"268,5","256,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,02/08/2023,Almoço,"43,15","448,5","405,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,02/08/2023,Jantar,"15,9","268,5","252,6",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,03/08/2023,Almoço,"34,85","448,5","413,65",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,03/08/2023,Jantar,14,"268,5","254,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,04/08/2023,Almoço,"35,15","448,5","413,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
