DATA,DESCRIÇÃO,Estudantes RESIDENTES ,Outros
2023-09-15,Jantar,112,18
2023-09-16,Jantar,76,7
2023-09-17,Jantar,85,5
2023-09-18,Almoço,310,378
2023-09-18,Jantar,312,54
2023-09-19,Almoço,332,435
2023-09-19,Jantar,267,50
2023-09-20,Almoço,308,444
2023-09-20,Jantar,321,67
2023-09-21,Almoço,314,457
2023-09-21,Jantar,265,79
2023-09-22,Almoço,316,449
2023-09-22,Jantar,91,17
2023-09-23,Jantar,53,7
2023-09-24,Jantar,60,0
2023-09-25,Almoço,318,403
2023-09-25,Jantar,282,50
2023-09-26,Almoço,334,493
2023-09-26,Jantar,282,51
2023-09-27,Almoço,324,449
2023-09-27,Jantar,302,69
2023-09-28,Almoço,328,487
2023-09-28,Jantar,285,52
2023-09-29,Almoço,308,461
2023-09-29,Jantar,114,21
2023-09-30,Jantar,60,6
2023-10-02,Almoço,290,388
2023-10-02,Jantar,276,56
2023-10-03,Almoço,265,360
2023-10-03,Jantar,276,69
