DATA,DESCRIÇÃO,Precipitação,Umidade,Vento,Temperatura
2023-06-01,Almoço,0.0,99.0,0.9333333333333332,12.6
2023-06-01,Jantar,0.0,80.83333333333333,0.5333333333333333,17.533333333333335
2023-06-02,Almoço,0.0,97.33333333333333,1.5999999999999999,11.783333333333333
2023-06-02,Jantar,0.0,67.0,2.733333333333333,19.650000000000002
2023-06-03,Almoço,0.0,91.5,3.1999999999999997,12.416666666666666
2023-06-03,Jantar,0.0,67.33333333333333,3.0666666666666664,19.516666666666666
2023-06-04,Almoço,0.0,88.83333333333333,2.1333333333333333,12.100000000000001
2023-06-04,Jantar,0.0,60.666666666666664,1.6666666666666663,19.750000000000004
2023-06-05,Almoço,0.0,92.5,1.7333333333333334,10.850000000000001
2023-06-05,Jantar,0.0,54.5,1.2,20.133333333333333
2023-06-06,Almoço,0.0,84.0,2.4666666666666663,11.299999999999999
2023-06-06,Jantar,0.0,58.333333333333336,3.3333333333333326,19.433333333333334
2023-06-07,Almoço,0.0,83.33333333333333,2.8000000000000003,11.6
2023-06-07,Jantar,0.0,59.833333333333336,1.7999999999999998,19.400000000000002
2023-06-08,Almoço,0.0,90.83333333333333,1.6666666666666667,11.466666666666667
2023-06-08,Jantar,0.0,55.5,1.6666666666666663,20.183333333333334
2023-06-09,Almoço,0.0,84.5,1.8,12.100000000000001
2023-06-09,Jantar,0.0,53.333333333333336,2.2,21.166666666666668
2023-06-10,Almoço,0.0,85.0,1.3999999999999997,12.566666666666668
2023-06-10,Jantar,0.0,51.166666666666664,1.5333333333333334,22.283333333333335
2023-06-11,Almoço,0.0,80.66666666666667,0.6666666666666666,14.149999999999999
2023-06-11,Jantar,0.0,46.5,2.4,23.033333333333335
2023-06-12,Almoço,0.0,79.5,1.6666666666666667,13.716666666666669
2023-06-12,Jantar,0.0,51.166666666666664,1.8,23.01666666666667
2023-06-13,Almoço,0.0,83.33333333333333,1.4666666666666666,15.700000000000001
2023-06-13,Jantar,0.0,64.16666666666667,2.3333333333333335,20.133333333333336
2023-06-14,Almoço,0.0,84.33333333333333,2.3333333333333335,17.283333333333335
2023-06-14,Jantar,0.125,74.83333333333333,2.1999999999999997,20.083333333333332
2023-06-15,Almoço,1.5,94.5,2.3333333333333335,15.916666666666666
2023-06-15,Jantar,0.0,85.16666666666667,2.1333333333333333,18.21666666666667
2023-06-16,Almoço,0.5833333333333334,99.66666666666667,1.3333333333333333,14.600000000000001
2023-06-16,Jantar,0.041666666666666664,89.16666666666667,2.3333333333333335,16.233333333333334
2023-06-17,Almoço,0.0,88.0,2.2666666666666666,12.483333333333334
2023-06-17,Jantar,0.08333333333333333,55.333333333333336,1.8666666666666665,15.916666666666666
2023-06-18,Almoço,0.0,99.16666666666667,1.2,6.0
2023-06-18,Jantar,0.0,49.666666666666664,1.0,16.849999999999998
2023-06-19,Almoço,0.0,81.33333333333333,2.5999999999999996,8.866666666666665
2023-06-19,Jantar,0.0,58.166666666666664,2.866666666666667,18.416666666666668
2023-06-20,Almoço,0.0,85.33333333333333,3.1999999999999997,11.033333333333333
2023-06-20,Jantar,0.0,59.0,2.466666666666667,18.46666666666667
2023-06-21,Almoço,0.0,86.0,2.533333333333333,10.683333333333332
2023-06-21,Jantar,0.0,62.333333333333336,2.4,18.683333333333334
2023-06-22,Almoço,0.0,89.83333333333333,2.2,11.166666666666666
2023-06-22,Jantar,0.0,58.5,2.2666666666666666,19.133333333333336
2023-06-23,Almoço,0.0,87.0,2.266666666666667,12.0
2023-06-23,Jantar,0.0,59.833333333333336,2.533333333333333,18.95
2023-06-24,Almoço,0.0,87.83333333333333,1.866666666666667,12.35
2023-06-24,Jantar,0.041666666666666664,59.666666666666664,1.6666666666666663,19.633333333333333
2023-06-25,Almoço,0.0,88.66666666666667,1.6666666666666667,12.4
2023-06-25,Jantar,0.0,55.5,1.7999999999999998,20.316666666666666
2023-06-26,Almoço,0.0,87.5,1.866666666666667,11.533333333333331
2023-06-26,Jantar,0.0,52.5,2.8666666666666667,20.416666666666668
2023-06-27,Almoço,0.0,82.16666666666667,2.0,11.65
2023-06-27,Jantar,0.0,53.0,2.3333333333333335,21.099999999999998
2023-06-28,Almoço,0.0,86.5,1.9333333333333333,12.1
2023-06-28,Jantar,0.0,52.333333333333336,1.8,21.899999999999995
2023-06-29,Almoço,0.0,98.16666666666667,1.1333333333333333,10.383333333333333
2023-06-29,Jantar,0.0,51.5,2.2,21.383333333333336
2023-06-30,Almoço,0.0,85.83333333333333,3.1999999999999997,13.049999999999997
2023-06-30,Jantar,0.0,60.0,2.533333333333333,19.75
2023-07-01,Almoço,0.0,80.33333333333333,2.2,11.799999999999999
2023-07-01,Jantar,0.0,60.5,1.7333333333333332,19.45
2023-07-02,Almoço,0.0,97.0,0.7999999999999999,9.700000000000001
2023-07-02,Jantar,0.0,51.5,0.9333333333333332,20.916666666666668
2023-07-03,Almoço,0.0,84.33333333333333,1.8,10.983333333333333
2023-07-03,Jantar,0.0,51.0,2.466666666666667,19.150000000000002
2023-07-04,Almoço,0.0,91.33333333333333,2.866666666666667,9.633333333333333
2023-07-04,Jantar,0.0,58.0,3.1333333333333333,17.599999999999998
2023-07-05,Almoço,0.0,84.33333333333333,2.8000000000000003,9.5
2023-07-05,Jantar,0.0,57.833333333333336,2.8666666666666667,17.533333333333335
2023-07-06,Almoço,0.0,84.66666666666667,2.266666666666667,9.816666666666668
2023-07-06,Jantar,0.0,52.833333333333336,2.733333333333334,18.233333333333334
